"","Jelect","jblogel","jnewspaper","jnatradio","jtalkback","jdiscussp","jrallies","jpersuade","jpcmoney","jpcposter","jlablike","jnatlike","jgrnlike","jnzflike","jactlike","junflike","jmaolike","jmnplike","jmostlike","jmostlikex","jrepublic","jsphealth","jspedu","jspunemp","jspdefence","jspsuper","jspbusind","jsppolice","jspwelfare","jspenviro","jgovpdk","jgovplab","jgovpnat","jgovpgrn","jgovpnzf","jgovpact","jgovunf","jgovpmao","jgovpmnp","jnevervoteno","jnevervotelab","jnevervotenat","jnevervotegrn","jnevervotenzf","jnevervoteact","jnevervoteunf","jnevervotemao","jnevervotemnp","jnevervoteoth","jnevervoteothx","jfirstpx","jsecondp","jage","jlanguage","jlanguagex","jrollsex","jhqual","jwkft","jwkpt","jwkun","jwkret","jwkdis","jwksch","jwkunpo","jwkunpi","jhhincome","jhhadults","jhhchn","jmarital","r_jind","jlablr","jnatlr","jgrnlr","jnzflr","jactlr","junflr","jmaolr","jmnplr","jslflr","jrelservices","jrelnone","jrelang","jrelpres","jrelcath","jrelmeth","jrelbap","jrellat","jrelrat","jrelfun","jrelothc","jrelnonc","jreligionx","jreligiousity","jethnicity_e","jethnicity_m","jethnicity_p","jethnicity_a","jethnicity_o","jethnicityx","jethnicmost","jethnicmostx","jpartyvote","jelecvote","njptyvote","njelecvote","jdiffvoting","X_singlefav"
"2224",5,NA,"Rarely","Sometimes","Not at all","Yes, occasionally","No","No","No","No","2","9","5","0","5","7","7","0","National","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Same as now","More","Same as now","Same as now","Less","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Another party",56,"English","",NA,"Incomplete university degree","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,NA,"Married, in a civil union or living with a partner","”TRANSPORTATION”","4","7","3","4","9","Centre","4","Left","8","At least once a week",NA,NA,NA,NA,NA,NA,NA,NA,"Independent-Fundamentalist-Pentecostal Church",NA,NA,"","Very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","8","National","Conservative","Voting can make a reasonable amount of difference to what happens","National"
"2225",47,NA,"Sometimes","Not at all","Not at all","Yes, frequently","No","No","Yes, rarely","No","0","10","0","0","2","2","3","0","National","","Retain Queen as head of state","Same as now","Same as now","Less","Same as now","Same as now","Less","Same as now","Less","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,"Yes, Green","Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Maori Party",70,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Married, in a civil union or living with a partner","”CONSTRUCTION”","3","8","2","Don't know","Right","Centre","4","Left","8","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"2226",33,"Visited a political blog for election information","Sometimes","Not at all","Sometimes","Yes, occasionally","No","No","No","No","6","8","7","0","4","1","3","0","National","","Become a republic with an NZ head of state","Same as now","Same as now","Much less","Same as now","Same as now","More","Same as now","Much less","Much more",NA,NA,"Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,"Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Labour",35,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Married, in a civil union or living with a partner","”PROFESSIONAL AND RELATED SERVICES”","Centre","7","Centre","8","9","8","3","3","7","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a reasonable amount of difference to what happens","National"
"2227",6,NA,"Not at all","Not at all","Not at all","Yes, rarely","No","No","No","No","2","9","0","Don't know","Don't know","Don't know","Don't know","Don't know","National","","Become a republic with an NZ head of state","More","More","Much less","Much more","More","Same as now","More","Less","Much less",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Labour",52,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",5,NA,"Married, in a civil union or living with a partner","”CONSTRUCTION”","3","8","Don't know","Don't know","Don't know","Don't know","Don't know",NA,"Centre","At least once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Christian",NA,"BRETHREN","Very religious","NZ European",NA,NA,NA,NA,"","NZ European","",NA,NA,"Nonvote","Nonvote","Voting can make some difference to what happens","National"
"2228",7,NA,"Often",NA,NA,"Yes, occasionally","No","No","No","No","4","9","1","2","5","7","7","1","National","","Become a republic with an NZ head of state","More","More","Same as now","More","More","Same as now","Same as now","Same as now","Same as now",NA,"Yes, Labour helped form government after 2008 election",NA,"Yes, Greens helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Labour",NA,"Yes, Green","Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Another party",67,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",3,NA,"Married, in a civil union or living with a partner","”RECREATION”","4","8","1","6","9","8","6","Left","6","At least once a week",NA,NA,NA,NA,NA,NA,NA,NA,"Independent-Fundamentalist-Pentecostal Church",NA,NA,"","Very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"2229",37,NA,"Sometimes","Sometimes","Not at all","Yes, frequently","No","No","No","No","5","10","2","0","7","5","0","0","National","","Retain Queen as head of state","Same as now","Same as now","Less","Same as now","Same as now","Same as now","More","Much less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,"Yes, Green","Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Act",73,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”FINANCE,INSURANCE, AND REAL ESTATE”","2","8","Left","Left","7","7","Centre","Left","9","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"2230",59,"Visited a political blog for election information","Often",NA,NA,"Yes, frequently",NA,NA,NA,NA,"0","7","2","1","9",NA,"0","0","NZ First","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Same as now","Less","Less","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,NA,NA,NA,"Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Act",53,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",NA,NA,"Married, in a civil union or living with a partner","”CONSTRUCTION”","1","4","1","1","6","4","1","Left","7","Once a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","Act"
"2231",5,NA,"Often",NA,NA,"Yes, rarely","No","No","No","No","3","7","3","2","2","2","Don't know","Don't know","National","","Retain Queen as head of state","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Don't know",76,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”ACTIVE MILITARY DUTY”","2","9","3","Don't know","Don't know","Don't know","Don't know","Don't know","7","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs",NA,NA,NA,NA,NA,"NEW ZEALAND CELT",NA,"",NA,NA,NA,NA,"Voting can make a reasonable amount of difference to what happens","National"
"2232",55,NA,"Often","Often","Not at all","Yes, rarely","No","No","No","No","6","4","7","0","0","0","2","0","Green","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Less","Same as now","Less","Same as now","More","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,NA,NA,"","","Green",60,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,1,"Married, in a civil union or living with a partner","”MANUFACTURING”","4","6","3","8","Right","9","4","2","4","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,"Other","FRENCH CANADIAN","NZ European","FRENCH CANADIAN","Green","Green","Green","Green","Voting can make a reasonable amount of difference to what happens","Green"
"2233",41,NA,"Sometimes","Sometimes","Rarely","No","No","No","No","No","5",NA,NA,"5",NA,NA,NA,NA,"Labour","","Don't know","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National","Yes, Green",NA,"Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party","Yes, another party","","","NZ First",73,"English","",NA,"Primary school completed",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",2,NA,"Married, in a civil union or living with a partner","”CONSTRUCTION”",NA,NA,NA,"Don't know",NA,NA,NA,NA,"Centre","2-3 times a month",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"","NZ European","","Labour","Labour","Labour","Labour","Voting can make a reasonable amount of difference to what happens","Labour"
"2234",9,NA,"Sometimes","Not at all","Not at all","Yes, occasionally","No","Yes, rarely","No","No","3","5","7","5","3","2","6","3","Green","","Retain Queen as head of state","More","Same as now","Same as now","More","Much more","Same as now","Less","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act","Yes, United Future",NA,NA,NA,"","","National",31,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",4,NA,"Single, never married","”MANUFACTURING”","4","7","3","6","7","Centre","4","2","4","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"","NZ European","","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Green"
"2235",29,NA,"Often",NA,NA,"Yes, occasionally","No","No","No","No","7","3","9","5","0","0","5","5","Green","","Become a republic with an NZ head of state","More","More","Less","Same as now","Same as now","More","More","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,"Yes, NZ First","Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Labour",46,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,NA,"Married, in a civil union or living with a partner","”AGRICULTURAL”","2","9","4","6","9","9","4","4","4","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"","NZ European","","Green","Green","Green","Green","Voting can make a reasonable amount of difference to what happens","Green"
"2236",47,NA,"Sometimes","Not at all","Not at all","Yes, rarely","No","No","No","No","4","6","6","5","3","3","Don't know","Don't know","Green","","Retain Queen as head of state","Much more","Much more","Don't know","Less","More","More","More","More","Don't know",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Green",71,"English","",NA,"Incomplete university degree",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",3,1,"Married, in a civil union or living with a partner","”ENTERTAINMENT AND REPAIR SERVICES”","3","7","4","8","7","7","Don't know","Don't know","6","2-3 times a month",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make some difference to what happens","National"
"2237",13,NA,"Rarely","Not at all","Not at all","Yes, frequently","No","No","No","No","4","6","7","5","5","5","5","5","Green","","Retain Queen as head of state","More","More","Same as now","Less","Same as now","Less","More","Same as now","More",NA,NA,NA,NA,"Yes, NZ First helped form government after 2008 election","Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Green",41,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",3,2,"Married, in a civil union or living with a partner","”HEALTH”","3","7","6","8","8","Don't know","4","3","6","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","Green","Green","Green","Green","Voting can make some difference to what happens","Green"
"2238",57,NA,"Often","Sometimes",NA,"Yes, frequently","Yes, occasionally","No","No","No","6","9","7","4","3","5","8","1","National","","Retain Queen as head of state","Same as now","More","Same as now","Same as now","Same as now","More","Same as now","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Maori Party",59,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,0,"Married, in a civil union or living with a partner","”COMMUNICATION”","3","8","1","Centre","Right","Centre","4","3","6","Never",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"2239",25,NA,"Often",NA,NA,"Yes, frequently","No","No","No","No","10","8","8",NA,"8","5","5","0","Labour","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Same as now","Same as now","Same as now","Same as now","Much less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,"Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Mana Party",NA,"","","Another party",50,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",2,NA,"Married, in a civil union or living with a partner","”TRANSPORTATION”","3","8","1","8","Right","7","Centre","Right","3","2-11 times a year",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","Labour","8","Labour","Conservative","Voting can make a reasonable amount of difference to what happens","Labour"
"2240",51,NA,"Sometimes","Not at all","Not at all","Yes, occasionally","No","No","No","No","3","8","1","6","1","5","3","0","Another party","CONSERVATIVE","Retain Queen as head of state","More","More","Same as now","Same as now","More","More","More","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,"Yes, Green",NA,"Yes, Act",NA,"Yes, Maori Party","Yes, Mana Party",NA,"","CONSERVATIVE","National",68,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”RETAIL TRADE”","2","6","Left","8","Right","6","1","Left","8","At least once a week",NA,NA,NA,NA,NA,NA,NA,NA,"Independent-Fundamentalist-Pentecostal Church",NA,NA,"","Very religious","NZ European",NA,NA,NA,NA,"",NA,"","Conservative","8","Conservative","Conservative","Voting can make a big difference to what happens","National"
"2241",25,NA,"Often","Sometimes","Not at all","Yes, occasionally","No","Yes, rarely","No","No","6","6","5","8","0","4","5","0","NZ First","","Retain Queen as head of state","Same as now","Same as now","Less","Same as now","Same as now","Same as now","More","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act",NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","NZ First",81,"English","",NA,"Incomplete university degree",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",1,NA,"Widowed","”EDUCATION”","3","Right","Centre","6","Right","4","4","Left","Centre","At least once a week",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Very religious","NZ European",NA,NA,NA,NA,"","NZ European","","NZ First","National","NZ First","National","Voting can make a reasonable amount of difference to what happens","NZ First"
"2242",51,NA,"Sometimes",NA,NA,"Yes, rarely","Yes, occasionally",NA,NA,NA,"6","1","4","4","0","0","0","0","Labour","","Become a republic with an NZ head of state","Same as now","Same as now","Much less","Much less","Same as now","Much less","Same as now","Much less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","NZ First",71,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",2,NA,"Married, in a civil union or living with a partner","”TRANSPORTATION”","3","9","3","3","Right","Right","Right","Right","4","Once a year",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"","NZ European","","Labour","Labour","Labour","Labour",NA,"Labour"
"2243",29,NA,"Often","Often",NA,"Yes, frequently","Yes, frequently","Yes, frequently","Yes, frequently","Yes, frequently","10","0","8","2","0","0","1","4","Labour","","Don't know","More","More","More","Less","Same as now","More","Same as now","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,"Yes, National",NA,"Yes, NZ First","Yes, Act","Yes, United Future","Yes, Maori Party",NA,NA,"","","Green",53,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",3,1,"Married, in a civil union or living with a partner","”PROFESSIONAL AND RELATED SERVICES”","3","7","3","Centre","Right","8","6","2","Left","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Labour"
"2244",53,NA,"Sometimes",NA,NA,"Yes, occasionally","No","Yes, rarely","No","No","9","0","1","9","0","0","0","0","NZ First","","Retain Queen as head of state","More","Same as now","Much less","Same as now","More","Same as now","More","Much less","Much less",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,NA,NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Labour",70,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",2,NA,"Married, in a civil union or living with a partner","”PUBLIC ADMINISTRATION”","8","2","1","Right","2","1","Left","Left","8","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","NZ First","Labour","NZ First","Labour","Voting can make a reasonable amount of difference to what happens","Labour"
"2245",56,NA,"Sometimes",NA,NA,"Yes, frequently",NA,NA,"Yes, occasionally",NA,"6","9","7","1","2","3","4","1","National","","Retain Queen as head of state","More","Same as now","Same as now","Less","Less","More","More","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","Green",81,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,NA,NA,NA,NA,"”AGRICULTURAL”","4","8","Centre","8","8","8","Don't know","Don't know","6","2-3 times a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION PRES-METH","Very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"2246",40,"Visited a political blog for election information","Often","Often","Often","Yes, frequently","No","No","No","No","0","6","4","0","3","4","5","2","National","","Retain Queen as head of state","Same as now","Same as now","Same as now","Less","More","Same as now","More","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Don't know",51,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",1,NA,"Divorced or separated","”CONSTRUCTION”","4","6","3","3","9","Centre","Centre","Left","6","2-11 times a year",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"2247",51,NA,"Sometimes",NA,NA,"Yes, occasionally","No","No","No","No","3","9","3","2","2","2","1","1","National","","Retain Queen as head of state","More","More","Same as now","Same as now","Same as now","Same as now","Same as now","Less","Same as now","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Labour",NA,NA,NA,"Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Green",52,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,NA,"Married, in a civil union or living with a partner","”AGRICULTURAL”","3","8","3","Centre","Centre","4","4","4","8","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"2248",8,NA,"Sometimes","Sometimes","Not at all","Yes, occasionally",NA,NA,"Yes, frequently","Yes, rarely","10","1","7","8","0","3","2","2","Labour","","Retain Queen as head of state","Same as now","Same as now","Less","Less","Same as now","Don't know","Same as now","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,"Yes, NZ First helped form government after 2008 election","Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act",NA,NA,NA,NA,"","","NZ First",79,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,NA,NA,"Retired",NA,NA,NA,NA,"Less than $NZ20,000",1,NA,"Widowed","”CONSTRUCTION”","Centre","Centre","Centre","Centre","Don't know","Centre","Don't know","Don't know","Centre","At least once a week",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Very religious","NZ European",NA,NA,NA,NA,"",NA,"","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Labour"
"2249",44,NA,"Rarely","Not at all","Not at all","Yes, occasionally","No","No","No","No","4","8","4","4","5","3","5","0","National","","Don't know","More","More","Same as now","Same as now","Same as now","Same as now","More","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Don't know",75,"English","",NA,"Primary school completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”AGRICULTURAL”","4","7","4","Centre","8","Centre","Centre","2","7","2-11 times a year",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Christian",NA,"NON DENOMINATIONAL","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make some difference to what happens","National"
"2250",16,NA,"Not at all","Not at all","Sometimes","No","No","No","No","No","4","8","3","3","0","2","4","0","National","","Become a republic with an NZ head of state","Same as now","More","Less","Less","Same as now","Same as now","More","Less","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, Mana Party helped form government after 2008 election",NA,NA,NA,"Yes, Green",NA,"Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Another party",62,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Widowed","”PROFESSIONAL AND RELATED SERVICES”","2","8","2","Centre","Right","3","3","Left","7","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make some difference to what happens","National"
